,,preparing output,,,analysis,,,,synthesis,
,domain,derived fields,routine,,ipynb,py,results,,ipynb,py
CESM output: CTRL+RCP,ocn,UVEL_VVEL,yrly tavg,,MOC,,MOC/AMOC_{run}.nc,,HEAT,
,,,,,BSF,,,,,
,,,,,CURRENTS,,,,,
,,TEMP_PD,yrly tavg,,OHC,,OHC/OHC_integrals_{run}_{region}.nc,,HIATUS,
,,,,,SST,,SST/SST_yrly_{run}.nc,,,
,,SHF,yrly tavg,,SHF,,,,,
,,,,,TOA,,TOA/TOM_{run}.nc,,,
,,,,,,,,,,
,atm,T_T850_U_V,yrly tavg,,GMST,,GMST/GMST_{run}.nc,,,
,,,,,WIND,,,,,
,,FSNT_FLNT,yrly tavg,,,,,,,
,,,,,,,,,,
,ice,,,,CICE,,,,,